"14yn -- Panos-tuotostaulukko perushintaan, vuosittain, 2021-2023"

"Vuosi";"Toimiala, taloustoimi, lisätietoja";"Tiedot";"01 Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut";"02 Metsätalous ja puunkorjuu";"03 Kalastus ja vesiviljely";"B Kaivostoiminta ja louhinta (05-09)";"10-12 Elintarviketeollisuus ym.";"13-15 Tekstiiliteollisuus";"16 Sahatavaran sekä puu- ja korkkituotteiden valmistus (pl. huonekalut); olki- ja punontatuotteiden valmistus";"17 Paperin, paperi- ja kartonkituotteiden valmistus";"18 Painaminen ja tallenteiden jäljentäminen";"19 Koksin ja jalostettujen öljytuotteiden valmistus";"20 Kemikaalien ja kemiallisten tuotteiden valmistus";"21 Lääkeaineiden ja lääkkeiden valmistus";"22 Kumi- ja muovituotteiden valmistus";"23 Muiden ei-metallisten mineraalituotteiden valmistus";"24 Metallien jalostus";"25 Metallituotteiden valmistus (pl. koneet ja laitteet)";"26 Tietokoneiden sekä elektronisten ja optisten tuotteiden valmistus";"27 Sähkölaitteiden valmistus";"28 Muiden koneiden ja laitteiden valmistus";"29 Moottoriajoneuvojen, perävaunujen ja puoliperävaunujen valmistus";"30 Muiden kulkuneuvojen valmistus";"31, 32 Muu valmistus ml. huonekalut";"33 Koneiden ja laitteiden korjaus, huolto ja asennus";"35 Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta";"36 Veden otto, puhdistus ja jakelu";"37-39 Jäte- ja jätevesihuolto";"F Rakentaminen (41-43)";"45 Moottoriajoneuvojen ja moottoripyörien tukku- ja vähittäiskauppa sekä korjaus";"46 Tukkukauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa)";"47 Vähittäiskauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa)";"49 Maaliikenne ja putkijohtokuljetus";"50 Vesiliikenne";"51 Ilmaliikenne";"52 Varastointi ja liikennettä palveleva toiminta";"53 Posti- ja kuriiritoiminta";"I Majoitus- ja ravitsemistoiminta (55-56)";"58 Kustannustoiminta";"59, 60 Audiovisuaalinen toiminta";"61 Televiestintä";"62, 63 Tietojenkäsittelypalvelu";"64 Rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)";"65 Vakuutus-, jälleenvakuutus- ja eläkevakuutustoiminta (pl. pakollinen sosiaalivakuutus)";"66 Rahoitusta ja vakuuttamista palveleva toiminta";"68 pl. 68202 Kiinteistöalan toiminta pl. asuntojen ja asuinkiinteistöjen hallinta";"68202 Asuntojen ja asuinkiinteistöjen hallinta";"69, 70 Liikkeenjohdon palvelut";"71 Arkkitehti- ja insinööripalvelut; tekninen testaus ja analysointi";"72 Tieteellinen tutkimus ja kehittäminen";"73 Mainostoiminta ja markkinatutkimus";"74, 75 Muut liike-elämän palvelut ja eläinlääkintä";"77 Vuokraus- ja leasingtoiminta";"78 Työllistämistoiminta";"79 Matkatoimistojen ja matkanjärjestäjien toiminta; varauspalvelut";"80-82 Muut tukipalvelut";"84 Julkinen hallinto ja maanpuolustus; pakollinen sosiaalivakuutus";"85 Koulutus";"86 Terveyspalvelut";"87, 88  Sosiaalipalvelut";"90-92 Kulttuuritoiminta ja rahapelit";"93 Urheilutoiminta sekä huvi- ja virkistyspalvelut";"94 Järjestöjen toiminta";"95 Tietokoneiden, henkilökohtaisten ja kotitaloustavaroiden korjaus";"96 Muut henkilökohtaiset palvelut";"97, 98 Kotitalouspalvelut";"A-X toimialat yhteensä (00-99)";"P3KS14 Kotitalouksien kulutusmenot, menona";"P3KS15 Kulutusmenot, voittoa tavoittelemattomat yhteisöt, menona";"P3KS13 Julkiset kulutusmenot, menona";"P3K Kulutusmenot, menona";"P51K Kiinteän pääoman bruttomuodostus, menona";"P52K Varastojen muutos, menona";"P5K Pääoman bruttomuodostus, menona";"P6KS21 Vienti EU-maihin";"P6KS2111 Vienti EU-maihin, EMU-maat";"P6KS2112 Vienti EU-maihin, EMU:n ulkopuoliset maat";"P6KS22 Vienti EU:n ulkopuolelle";"P6K Tavaroiden ja palvelujen vienti, menona";"FUSE_PH Loppukäyttö perushintaan";"USE_PH Käyttö yhteensä perushintaan"
"2021";"01 Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut";"Käypiin hintoihin, miljoonaa euroa";938.530;101.778;.;.;2525.006;.;3.017;0.026;.;.;4.977;.;0.004;0.028;0.001;0.019;.;.;.;.;0.025;0.077;3.995;0.139;0.002;0.023;5.665;1.080;6.545;0.022;2.190;0.031;0.001;0.774;0.005;118.443;0.001;0.005;0.237;1.093;0.112;0.058;0.134;0.559;0.022;0.871;0.299;0.153;0.246;0.075;0.610;0.036;0.321;2.412;14.572;27.809;24.256;13.388;0.782;1.295;0.497;0.001;0.005;0.129;3802.380;815.301;.;.;815.301;18.861;-151.147;-132.286;108.642;77.081;31.561;168.962;277.604;960.619;4762.999
"2021";"02 Metsätalous ja puunkorjuu";"Käypiin hintoihin, miljoonaa euroa";9.780;1112.325;0.001;12.519;5.031;0.029;1920.720;1514.950;0.062;0.004;0.054;0.011;2.980;0.269;0.046;0.209;0.067;0.037;0.240;0.129;0.054;0.200;0.089;178.627;0.005;0.207;1.861;0.564;4.905;2.258;0.285;0.081;0.106;0.595;0.051;0.954;0.100;0.084;0.300;0.292;0.136;0.103;0.054;0.721;0.022;0.240;0.310;0.211;0.027;0.033;0.075;0.060;0.010;0.277;2.727;21.759;2.840;1.983;0.257;0.297;0.126;0.023;0.121;0.001;4803.496;364.802;.;.;364.802;17.937;422.149;440.086;57.539;18.223;39.317;18.076;75.616;880.504;5684.000
"2021";"03 Kalastus ja vesiviljely";"Käypiin hintoihin, miljoonaa euroa";0.045;0.096;49.049;.;41.909;.;.;.;.;.;2.216;.;.;.;.;.;.;.;.;.;.;.;.;0.011;0.001;0.039;0.829;0.088;0.006;.;0.151;0.167;0.006;2.032;.;27.797;0.001;0.007;0.332;1.480;0.145;0.378;0.176;0.765;0.021;1.193;0.392;0.161;0.345;0.371;0.681;0.042;.;1.022;0.799;0.733;1.162;0.564;0.098;0.189;0.510;0.001;0.007;.;136.016;102.109;.;.;102.109;.;0.095;0.095;7.387;5.532;1.855;5.392;12.779;114.984;251.000
"2021";"B Kaivostoiminta ja louhinta (05-09)";"Käypiin hintoihin, miljoonaa euroa";3.115;3.153;0.003;267.800;2.980;0.131;6.130;29.351;0.242;0.172;126.931;0.322;0.620;156.958;465.062;3.944;4.758;1.021;5.705;1.242;0.314;2.311;3.085;106.995;0.586;7.019;253.867;0.975;5.908;7.215;1.201;0.261;0.225;1.618;0.330;1.244;0.993;0.153;0.827;3.199;0.546;0.209;0.270;1.313;0.404;2.485;3.318;0.513;0.264;3.724;1.424;0.848;0.015;5.352;4.252;0.890;0.775;0.312;0.236;0.254;0.311;0.600;2.008;0.001;1508.295;6.297;.;0.085;6.382;22.981;-47.443;-24.462;354.751;199.612;155.139;766.035;1120.785;1102.705;2611.000
"2021";"10-12 Elintarviketeollisuus ym.";"Käypiin hintoihin, miljoonaa euroa";610.430;10.201;21.038;5.876;1953.063;1.222;15.333;78.961;0.917;1.978;85.085;3.993;2.576;4.608;25.541;7.472;29.318;5.454;23.110;2.240;3.061;2.221;9.172;14.005;0.428;4.496;91.781;13.885;34.380;25.491;17.116;16.721;1.724;151.658;1.999;862.217;7.181;2.216;36.072;155.251;17.955;23.435;18.541;76.007;2.850;125.321;53.852;16.328;33.693;45.625;61.529;7.659;0.107;82.647;75.678;63.140;105.837;50.331;10.322;18.400;49.775;0.868;3.016;0.011;5282.420;5291.929;.;1.484;5293.413;102.758;-6.862;95.896;861.293;421.496;439.797;609.978;1471.271;6860.580;12143.001
"2021";"13-15 Tekstiiliteollisuus";"Käypiin hintoihin, miljoonaa euroa";0.141;0.285;0.006;2.607;3.535;43.447;2.273;9.483;1.629;0.375;3.517;1.880;8.686;11.438;4.632;4.212;9.591;1.868;11.538;0.965;3.498;5.056;2.463;7.521;0.396;14.333;43.039;2.332;22.361;6.626;2.143;1.915;0.463;5.523;0.783;3.087;5.403;1.678;4.267;9.952;1.211;0.894;0.874;1.708;0.095;10.420;14.057;1.503;1.004;7.374;5.095;2.565;0.055;12.173;11.639;2.875;7.376;3.705;0.754;1.762;1.421;1.174;0.673;0.005;355.358;275.489;.;2.115;277.605;18.835;0.462;19.298;304.455;167.428;137.027;187.285;491.740;788.642;1144.000
"2021";"16 Sahatavaran sekä puu- ja korkkituotteiden valmistus (pl. huonekalut); olki- ja punontatuotteiden valmistus";"Käypiin hintoihin, miljoonaa euroa";1.785;2.170;0.018;21.787;13.970;2.349;1000.434;402.902;1.093;0.963;138.943;1.017;11.685;21.427;156.633;26.516;15.160;6.444;23.811;5.609;13.446;63.055;3.391;256.668;0.182;44.989;2333.672;4.251;52.921;41.598;2.472;0.995;0.739;19.049;0.556;6.487;3.442;0.903;3.737;20.264;4.999;3.089;2.442;28.416;3.603;19.933;6.752;2.553;3.543;10.178;6.090;1.209;0.055;38.363;11.502;3.445;5.072;2.482;1.819;2.455;4.275;1.860;6.809;0.005;4898.481;48.259;.;0.818;49.078;40.708;-141.337;-100.629;1454.587;1124.082;330.505;2080.484;3535.071;3483.519;8382.000
"2021";"17 Paperin, paperi- ja kartonkituotteiden valmistus";"Käypiin hintoihin, miljoonaa euroa";5.568;3.504;0.130;9.793;229.825;8.098;60.922;2622.389;63.676;11.605;75.430;19.883;31.414;23.381;103.783;32.292;63.951;37.223;55.353;9.334;9.253;18.762;9.964;39.673;1.116;20.359;148.121;36.400;200.408;80.523;10.427;6.068;2.634;35.236;3.898;31.059;27.916;10.883;9.198;55.507;13.658;6.527;7.737;22.824;2.965;52.229;16.637;6.312;7.359;10.771;12.138;4.285;0.287;51.149;29.327;17.270;49.445;19.970;7.929;9.277;11.299;2.572;4.479;0.085;4591.492;363.964;.;5.417;369.381;185.244;-86.012;99.232;4983.989;3795.963;1188.026;5201.906;10185.895;10654.508;15246.000
"2021";"18 Painaminen ja tallenteiden jäljentäminen";"Käypiin hintoihin, miljoonaa euroa";0.225;0.521;0.002;0.802;22.807;0.749;2.193;5.137;69.427;0.544;4.506;3.348;2.680;0.958;3.791;3.746;11.867;5.072;4.389;0.427;0.441;1.564;0.515;25.094;0.062;3.382;5.597;14.804;36.434;20.782;1.792;2.002;1.632;13.364;6.274;10.771;170.527;23.706;67.644;79.246;1.136;1.445;2.673;3.682;0.093;27.421;2.994;7.474;2.907;2.047;1.441;1.282;0.912;4.109;14.235;23.018;13.110;10.842;12.812;37.785;2.093;0.299;0.557;0.001;803.189;8.976;.;0.074;9.050;7.390;3.181;10.571;35.079;20.373;14.706;30.111;65.190;84.811;888.000
"2021";"19 Koksin ja jalostettujen öljytuotteiden valmistus";"Käypiin hintoihin, miljoonaa euroa";36.516;69.020;6.959;54.665;30.141;1.126;1.486;9.146;1.261;364.475;61.544;2.429;5.497;19.675;31.514;6.255;8.366;0.939;7.611;1.225;7.038;0.536;1.993;53.910;0.289;6.771;118.916;6.149;24.131;7.739;442.257;49.981;26.112;16.565;4.706;2.073;1.739;0.152;1.692;4.934;11.585;1.805;3.574;4.909;0.063;2.237;7.739;0.795;0.272;3.894;5.628;2.312;1.421;17.114;19.028;9.769;8.305;10.498;3.013;5.824;6.269;0.028;1.592;.;1625.210;456.881;.;.;456.881;55.706;16.515;72.222;3205.002;1894.544;1310.459;1418.685;4623.687;5152.790;6778.000
