"14yq -- Tuotoksen panoskertoimet, vuosittain, 2021-2023"

"Vuosi";"Toimiala, taloustoimi, lisätietoja";"Tiedot";"Yhteensä";"01 Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut";"02 Metsätalous ja puunkorjuu";"03 Kalastus ja vesiviljely";"B Kaivostoiminta ja louhinta (05-09)";"10-12 Elintarviketeollisuus ym.";"13-15 Tekstiiliteollisuus";"16 Sahatavaran sekä puu- ja korkkituotteiden valmistus (pl. huonekalut); olki- ja punontatuotteiden valmistus";"17 Paperin, paperi- ja kartonkituotteiden valmistus";"18 Painaminen ja tallenteiden jäljentäminen";"19 Koksin ja jalostettujen öljytuotteiden valmistus";"20 Kemikaalien ja kemiallisten tuotteiden valmistus";"21 Lääkeaineiden ja lääkkeiden valmistus";"22 Kumi- ja muovituotteiden valmistus";"23 Muiden ei-metallisten mineraalituotteiden valmistus";"24 Metallien jalostus";"25 Metallituotteiden valmistus (pl. koneet ja laitteet)";"26 Tietokoneiden sekä elektronisten ja optisten tuotteiden valmistus";"27 Sähkölaitteiden valmistus";"28 Muiden koneiden ja laitteiden valmistus";"29 Moottoriajoneuvojen, perävaunujen ja puoliperävaunujen valmistus";"30 Muiden kulkuneuvojen valmistus";"31, 32 Muu valmistus ml. huonekalut";"33 Koneiden ja laitteiden korjaus, huolto ja asennus";"35 Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta";"36 Veden otto, puhdistus ja jakelu";"37-39 Jäte- ja jätevesihuolto";"F Rakentaminen (41-43)";"45 Moottoriajoneuvojen ja moottoripyörien tukku- ja vähittäiskauppa sekä korjaus";"46 Tukkukauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa)";"47 Vähittäiskauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa)";"49 Maaliikenne ja putkijohtokuljetus";"50 Vesiliikenne";"51 Ilmaliikenne";"52 Varastointi ja liikennettä palveleva toiminta";"53 Posti- ja kuriiritoiminta";"I Majoitus- ja ravitsemistoiminta (55-56)";"58 Kustannustoiminta";"59, 60 Audiovisuaalinen toiminta";"61 Televiestintä";"62, 63 Tietojenkäsittelypalvelu";"64 Rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)";"65 Vakuutus-, jälleenvakuutus- ja eläkevakuutustoiminta (pl. pakollinen sosiaalivakuutus)";"66 Rahoitusta ja vakuuttamista palveleva toiminta";"68 pl. 68202 Kiinteistöalan toiminta pl. asuntojen ja asuinkiinteistöjen hallinta";"68202 Asuntojen ja asuinkiinteistöjen hallinta";"69, 70 Liikkeenjohdon palvelut";"71 Arkkitehti- ja insinööripalvelut; tekninen testaus ja analysointi";"72 Tieteellinen tutkimus ja kehittäminen";"73 Mainostoiminta ja markkinatutkimus";"74, 75 Muut liike-elämän palvelut ja eläinlääkintä";"77 Vuokraus- ja leasingtoiminta";"78 Työllistämistoiminta";"79 Matkatoimistojen ja matkanjärjestäjien toiminta; varauspalvelut";"80-82 Muut tukipalvelut";"84 Julkinen hallinto ja maanpuolustus; pakollinen sosiaalivakuutus";"85 Koulutus";"86 Terveyspalvelut";"87, 88  Sosiaalipalvelut";"90-92 Kulttuuritoiminta ja rahapelit";"93 Urheilutoiminta sekä huvi- ja virkistyspalvelut";"94 Järjestöjen toiminta";"95 Tietokoneiden, henkilökohtaisten ja kotitaloustavaroiden korjaus";"96 Muut henkilökohtaiset palvelut"
"2021";"01 Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut";"Käypiin hintoihin, miljoonaa euroa";0.008;0.197;0.018;.;.;0.208;.;0.000;0.000;.;.;0.000;.;0.000;0.000;0.000;0.000;.;.;.;.;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.001;0.002;0.001;0.001;0.000;0.000;0.000;0.000;0.000
"2021";"02 Metsätalous ja puunkorjuu";"Käypiin hintoihin, miljoonaa euroa";0.010;0.002;0.196;0.000;0.005;0.000;0.000;0.229;0.099;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
"2021";"03 Kalastus ja vesiviljely";"Käypiin hintoihin, miljoonaa euroa";0.000;0.000;0.000;0.195;.;0.003;.;.;.;.;.;0.000;.;.;.;.;.;.;.;.;.;.;.;.;0.000;0.000;0.000;0.000;0.000;0.000;.;0.000;0.000;0.000;0.000;.;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;.;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
"2021";"B Kaivostoiminta ja louhinta (05-09)";"Käypiin hintoihin, miljoonaa euroa";0.003;0.001;0.001;0.000;0.103;0.000;0.000;0.001;0.002;0.000;0.000;0.011;0.000;0.000;0.047;0.035;0.000;0.000;0.000;0.000;0.001;0.000;0.001;0.001;0.010;0.001;0.002;0.006;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.001;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.001
"2021";"10-12 Elintarviketeollisuus ym.";"Käypiin hintoihin, miljoonaa euroa";0.011;0.128;0.002;0.084;0.002;0.161;0.001;0.002;0.005;0.001;0.000;0.007;0.002;0.001;0.001;0.002;0.001;0.002;0.001;0.001;0.001;0.001;0.001;0.003;0.001;0.000;0.001;0.002;0.002;0.002;0.002;0.002;0.009;0.002;0.018;0.001;0.122;0.001;0.001;0.008;0.011;0.002;0.007;0.005;0.005;0.000;0.015;0.008;0.006;0.025;0.025;0.024;0.002;0.000;0.011;0.004;0.004;0.005;0.003;0.004;0.006;0.013;0.002;0.002
"2021";"13-15 Tekstiiliteollisuus";"Käypiin hintoihin, miljoonaa euroa";0.001;0.000;0.000;0.000;0.001;0.000;0.038;0.000;0.001;0.002;0.000;0.000;0.001;0.003;0.003;0.000;0.000;0.001;0.000;0.001;0.000;0.001;0.003;0.001;0.001;0.000;0.004;0.001;0.000;0.001;0.000;0.000;0.001;0.000;0.001;0.001;0.000;0.001;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.001;0.002;0.001;0.001;0.004;0.002;0.001;0.000;0.002;0.001;0.000;0.000;0.000;0.000;0.001;0.000;0.003;0.000
"2021";"16 Sahatavaran sekä puu- ja korkkituotteiden valmistus (pl. huonekalut); olki- ja punontatuotteiden valmistus";"Käypiin hintoihin, miljoonaa euroa";0.010;0.000;0.000;0.000;0.008;0.001;0.002;0.119;0.026;0.001;0.000;0.012;0.000;0.003;0.006;0.012;0.003;0.001;0.001;0.001;0.003;0.005;0.032;0.001;0.024;0.000;0.013;0.058;0.001;0.003;0.003;0.000;0.001;0.001;0.002;0.000;0.001;0.001;0.000;0.001;0.001;0.001;0.001;0.001;0.002;0.000;0.002;0.001;0.001;0.003;0.006;0.002;0.000;0.000;0.005;0.001;0.000;0.000;0.000;0.001;0.001;0.001;0.005;0.004
"2021";"17 Paperin, paperi- ja kartonkituotteiden valmistus";"Käypiin hintoihin, miljoonaa euroa";0.010;0.001;0.001;0.001;0.004;0.019;0.007;0.007;0.172;0.072;0.002;0.006;0.009;0.009;0.007;0.008;0.004;0.005;0.007;0.003;0.004;0.004;0.010;0.003;0.004;0.001;0.006;0.004;0.006;0.012;0.006;0.001;0.003;0.003;0.004;0.003;0.004;0.004;0.006;0.002;0.004;0.002;0.002;0.002;0.001;0.000;0.006;0.002;0.002;0.005;0.006;0.005;0.001;0.001;0.007;0.001;0.001;0.002;0.001;0.003;0.003;0.003;0.007;0.002
"2021";"18 Painaminen ja tallenteiden jäljentäminen";"Käypiin hintoihin, miljoonaa euroa";0.002;0.000;0.000;0.000;0.000;0.002;0.001;0.000;0.000;0.078;0.000;0.000;0.002;0.001;0.000;0.000;0.000;0.001;0.001;0.000;0.000;0.000;0.001;0.000;0.002;0.000;0.001;0.000;0.002;0.002;0.002;0.000;0.001;0.002;0.002;0.004;0.002;0.026;0.013;0.015;0.006;0.000;0.000;0.001;0.000;0.000;0.003;0.000;0.003;0.002;0.001;0.001;0.000;0.004;0.001;0.001;0.001;0.001;0.001;0.005;0.013;0.001;0.001;0.000
"2021";"19 Koksin ja jalostettujen öljytuotteiden valmistus";"Käypiin hintoihin, miljoonaa euroa";0.003;0.008;0.012;0.028;0.021;0.002;0.001;0.000;0.001;0.001;0.054;0.005;0.001;0.002;0.006;0.002;0.001;0.001;0.000;0.000;0.001;0.003;0.000;0.001;0.005;0.000;0.002;0.003;0.001;0.001;0.001;0.041;0.026;0.026;0.002;0.003;0.000;0.000;0.000;0.000;0.000;0.001;0.001;0.001;0.000;0.000;0.000;0.001;0.000;0.000;0.002;0.002;0.001;0.006;0.002;0.001;0.001;0.000;0.001;0.001;0.002;0.002;0.000;0.001
